股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
2939,2019-01-22,2019-01-29,100.5,100.0,-0.5,5,未達標
6289,2019-01-22,2019-01-29,1.22,1.34,9.84,5,未達標
6579,2019-01-22,2019-01-29,73.1,75.0,2.6,5,未達標
8039,2019-01-22,2019-01-29,35.65,36.85,3.37,5,未達標
4566,2019-01-23,2019-01-28,45.0,42.5,-5.56,3,失敗
1449,2019-01-24,2019-02-11,4.9,4.88,-0.41,5,未達標
2007,2019-01-24,2019-02-11,5.65,5.46,-3.36,5,未達標
6271,2019-01-24,2019-02-11,108.0,107.5,-0.46,5,未達標
2008,2019-01-25,2019-02-12,12.35,12.35,0.0,5,未達標
2015,2019-01-25,2019-02-12,58.2,58.6,0.69,5,未達標
2328,2019-01-25,2019-02-12,19.1,19.65,2.88,5,未達標
2329,2019-01-25,2019-02-12,12.25,13.6,11.02,5,勝利
4930,2019-01-25,2019-02-12,10.8,11.0,1.85,5,未達標
6405,2019-01-25,2019-02-12,14.65,14.1,-3.75,5,未達標
1442,2019-01-28,2019-02-13,15.3,15.8,3.27,5,未達標
2617,2019-01-28,2019-02-13,17.7,17.75,0.28,5,未達標
2881,2019-01-28,2019-02-13,44.6,44.6,0.0,5,未達標
4306,2019-01-28,2019-02-13,13.45,13.4,-0.37,5,未達標
5243,2019-01-28,2019-02-13,29.6,30.0,1.35,5,未達標
6416,2019-01-28,2019-02-13,92.0,93.7,1.85,5,未達標
2008,2019-01-29,2019-02-14,12.35,12.35,0.0,5,未達標
2495,2019-01-29,2019-02-14,11.5,11.75,2.17,5,未達標
2739,2019-01-29,2019-02-14,29.45,29.35,-0.34,5,未達標
1506,2019-01-30,2019-02-15,21.45,20.45,-4.66,5,未達標
2024,2019-01-30,2019-02-15,9.49,9.5,0.11,5,未達標
2397,2019-01-30,2019-02-15,63.5,66.9,5.35,5,未達標
2882A,2019-01-30,2019-02-15,63.5,63.9,0.63,5,未達標
2415,2019-02-11,2019-02-18,24.5,24.2,-1.22,5,未達標
1459,2019-02-12,2019-02-19,8.02,8.08,0.75,5,未達標
2206,2019-02-12,2019-02-19,20.0,19.95,-0.25,5,未達標
2349,2019-02-12,2019-02-19,11.05,10.85,-1.81,5,未達標
2373,2019-02-12,2019-02-19,91.4,91.5,0.11,5,未達標
2399,2019-02-12,2019-02-19,9.73,10.2,4.83,5,未達標
2506,2019-02-12,2019-02-19,11.35,11.4,0.44,5,未達標
3164,2019-02-12,2019-02-19,26.6,26.2,-1.5,5,未達標
3535,2019-02-12,2019-02-19,16.6,17.45,5.12,5,未達標
6505,2019-02-12,2019-02-19,109.0,115.0,5.5,5,未達標
910482,2019-02-12,2019-02-18,0.31,0.29,-6.45,4,失敗
