股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
3006,2019-03-22,2019-03-25,32.95,32.3,-1.97,3,失敗
3596,2019-03-22,2019-03-29,92.2,93.2,1.08,7,勝利
6271,2019-03-22,2019-03-25,105.5,103.5,-1.9,3,失敗
00641R,2019-03-25,2019-03-26,15.5,15.11,-2.52,1,失敗
8411,2019-03-25,2019-03-26,14.95,15.0,0.33,1,勝利
2417,2019-03-26,2019-03-27,11.5,11.75,2.17,1,勝利
6581,2019-03-26,2019-03-28,102.5,100.0,-2.44,2,失敗
1417,2019-03-27,2019-04-03,5.54,6.02,8.66,7,勝利
4551,2019-03-27,2019-03-28,121.0,121.0,0.0,1,失敗
4960,2019-03-27,2019-03-28,12.4,11.4,-8.06,1,失敗
2701,2019-03-28,2019-03-29,12.85,12.9,0.39,1,勝利
4764,2019-03-28,2019-03-29,80.5,80.5,0.0,1,失敗
2049,2019-04-02,2019-04-11,282.0,281.5,-0.18,9,失敗
2356,2019-04-02,2019-04-11,24.0,24.05,0.21,9,勝利
2607,2019-04-02,2019-04-03,13.5,13.45,-0.37,1,失敗
2891B,2019-04-02,2019-04-03,64.3,64.0,-0.47,1,失敗
3583,2019-04-02,2019-04-11,73.0,71.8,-1.64,9,失敗
4764,2019-04-02,2019-04-08,80.7,80.6,-0.12,6,失敗
2809,2019-04-03,2019-04-08,32.6,32.65,0.15,5,勝利
3030,2019-04-03,2019-04-11,55.4,54.8,-1.08,8,失敗
3591,2019-04-03,2019-04-12,14.7,16.0,8.84,9,勝利
3622,2019-04-03,2019-04-12,17.0,17.5,2.94,9,勝利
6191,2019-04-03,2019-04-11,13.85,14.0,1.08,8,勝利
1730,2019-04-08,2019-04-09,71.1,70.6,-0.7,1,失敗
1907,2019-04-08,2019-04-15,11.9,11.95,0.42,7,勝利
2395,2019-04-08,2019-04-09,252.0,250.0,-0.79,1,失敗
9907,2019-04-08,2019-04-09,13.05,13.0,-0.38,1,失敗
4551,2019-04-09,2019-04-10,116.5,120.0,3.0,1,勝利
1722,2019-04-10,2019-04-11,45.85,45.35,-1.09,1,失敗
9933,2019-04-10,2019-04-11,48.4,47.5,-1.86,1,失敗
2466,2019-04-11,2019-04-12,32.5,32.75,0.77,1,勝利
5264,2019-04-11,2019-04-18,53.7,54.6,1.68,7,勝利
8341,2019-04-11,2019-04-18,245.5,249.5,1.63,7,勝利
2701,2019-04-12,2019-04-15,12.9,12.85,-0.39,3,失敗
2887E,2019-04-12,2019-04-15,55.2,55.2,0.0,3,失敗
2838A,2019-04-16,2019-04-17,55.1,55.0,-0.18,1,失敗
1451,2019-04-17,2019-04-18,28.1,28.0,-0.36,1,失敗
2701,2019-04-17,2019-04-18,12.95,12.85,-0.77,1,失敗
2887E,2019-04-17,2019-04-18,55.2,55.3,0.18,1,勝利
4994,2019-04-17,2019-04-18,66.4,65.2,-1.81,1,失敗
8114,2019-04-17,2019-04-18,109.0,108.5,-0.46,1,失敗
9919,2019-04-17,2019-04-18,11.25,11.1,-1.33,1,失敗
2201,2019-04-18,2019-04-25,19.8,19.7,-0.51,7,失敗
2009,2019-04-22,2019-04-26,11.05,10.45,-5.43,4,失敗
2530,2019-04-22,2019-04-29,17.1,17.05,-0.29,7,失敗
3015,2019-04-22,2019-04-26,21.7,21.35,-1.61,4,失敗
3545,2019-04-22,2019-04-29,26.5,24.95,-5.85,7,失敗
2881A,2019-04-23,2019-04-26,65.5,65.5,0.0,3,失敗
2882A,2019-04-23,2019-04-24,64.2,64.1,-0.16,1,失敗
00702,2019-04-24,2019-04-26,21.43,21.27,-0.75,2,失敗
2010,2019-04-24,2019-04-25,10.45,10.5,0.48,1,勝利
2845,2019-04-25,2019-04-26,11.15,11.25,0.9,1,勝利
2882A,2019-04-25,2019-04-26,64.2,64.3,0.16,1,勝利
00702,2019-04-29,2019-05-03,21.47,21.35,-0.56,4,失敗
1537,2019-04-29,2019-04-30,162.0,164.0,1.23,1,勝利
2459,2019-04-29,2019-05-06,39.4,39.15,-0.63,7,失敗
2836,2019-04-29,2019-05-07,9.6,9.7,1.04,8,勝利
2887,2019-04-30,2019-05-02,14.0,14.1,0.71,2,勝利
8215,2019-04-30,2019-05-02,27.4,27.5,0.36,2,勝利
1441,2019-05-02,2019-05-09,14.85,15.85,6.73,7,勝利
1615,2019-05-02,2019-05-09,17.2,17.65,2.62,7,勝利
8039,2019-05-02,2019-05-09,43.25,46.95,8.55,7,勝利
0052,2019-05-03,2019-05-06,56.15,55.25,-1.6,3,失敗
2002,2019-05-03,2019-05-06,25.1,25.0,-0.4,3,失敗
2488,2019-05-03,2019-05-06,39.05,37.75,-3.33,3,失敗
3406,2019-05-03,2019-05-06,432.5,399.0,-7.75,3,失敗
3535,2019-05-03,2019-05-06,33.95,34.7,2.21,3,勝利
6552,2019-05-03,2019-05-09,142.0,131.5,-7.39,6,失敗
8016,2019-05-03,2019-05-06,135.5,129.5,-4.43,3,失敗
8215,2019-05-03,2019-05-06,27.9,27.5,-1.43,3,失敗
9911,2019-05-03,2019-05-06,41.7,41.8,0.24,3,勝利
3454,2019-05-06,2019-05-08,117.5,117.0,-0.43,2,失敗
6605,2019-05-06,2019-05-08,71.2,70.0,-1.69,2,失敗
00662,2019-05-07,2019-05-08,32.74,32.44,-0.92,1,失敗
00670L,2019-05-07,2019-05-08,36.29,35.67,-1.71,1,失敗
