股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
2939,2019-01-22,2019-02-15,100.5,100.5,0.0,11,未達標
6289,2019-01-22,2019-02-11,1.22,1.37,12.3,7,勝利
6579,2019-01-22,2019-02-15,73.1,78.0,6.7,11,未達標
8039,2019-01-22,2019-02-15,35.65,36.4,2.1,11,未達標
4566,2019-01-23,2019-01-28,45.0,42.5,-5.56,3,失敗
1449,2019-01-24,2019-02-19,4.9,4.9,0.0,11,未達標
2007,2019-01-24,2019-02-19,5.65,5.44,-3.72,11,未達標
6271,2019-01-24,2019-02-19,108.0,105.5,-2.31,11,未達標
2008,2019-01-25,2019-02-20,12.35,12.8,3.64,11,未達標
2015,2019-01-25,2019-02-20,58.2,59.1,1.55,11,未達標
2328,2019-01-25,2019-02-20,19.1,20.7,8.38,11,未達標
2329,2019-01-25,2019-02-12,12.25,13.6,11.02,5,勝利
4930,2019-01-25,2019-02-20,10.8,11.65,7.87,11,未達標
6405,2019-01-25,2019-02-20,14.65,14.4,-1.71,11,未達標
1442,2019-01-28,2019-02-21,15.3,15.45,0.98,11,未達標
2617,2019-01-28,2019-02-21,17.7,17.95,1.41,11,未達標
2881,2019-01-28,2019-02-21,44.6,45.1,1.12,11,未達標
4306,2019-01-28,2019-02-21,13.45,13.9,3.35,11,未達標
5243,2019-01-28,2019-02-21,29.6,31.6,6.76,11,未達標
6416,2019-01-28,2019-02-21,92.0,90.6,-1.52,11,未達標
2008,2019-01-29,2019-02-22,12.35,12.6,2.02,11,未達標
2495,2019-01-29,2019-02-22,11.5,11.8,2.61,11,未達標
2739,2019-01-29,2019-02-22,29.45,28.95,-1.7,11,未達標
1506,2019-01-30,2019-02-19,21.45,20.15,-6.06,7,失敗
2024,2019-01-30,2019-02-25,9.49,9.89,4.21,11,未達標
2397,2019-01-30,2019-02-21,63.5,70.2,10.55,9,勝利
2882A,2019-01-30,2019-02-25,63.5,64.0,0.79,11,未達標
